Video_ID,Titulo,Data_Publicacao,Views,Likes,Comentarios,Duracao_ISO,Duracao_Segundos,Duracao_Formatada,Thumbnail_URL,Data_Coleta,Data_Simples
-8zRcBg3TWg,OKANALHA (O BAIANO TEM O MOLHO) - Podpah #994,2026-01-21 21:43:00+00:00,4583,559,0,P0D,0,0:00:00,https://i.ytimg.com/vi/-8zRcBg3TWg/maxresdefault_live.jpg,2026-01-21 19:50:21,2026-01-21
nBeJOxEclJs,VEXAME DO PALMEIRAS CONTRA O NOVORIZONTINO; MARTINEZ X DORIVAL; SÃO PAULO EM CAMPO - QUEBRADA FC,2026-01-21 21:58:30+00:00,11396,1276,2,PT1H25M5S,5105,1:25:05,https://i.ytimg.com/vi/nBeJOxEclJs/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-21
kyRViX0OVuU,saBor perdão pai,2026-01-21 21:00:51+00:00,4171,318,1,PT22S,22,0:00:22,https://i.ytimg.com/vi/kyRViX0OVuU/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-21
kAlQpUXHVcM,embrazado,2026-01-21 15:01:28+00:00,5810,128,1,PT13S,13,0:00:13,https://i.ytimg.com/vi/kAlQpUXHVcM/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-21
SnogJzNtVj0,"tá duro, dorme 🤷‍♂️",2026-01-21 09:00:43+00:00,6964,185,1,PT40S,40,0:00:40,https://i.ytimg.com/vi/SnogJzNtVj0/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-21
l1j3S1TZNO8,"PLAYLIST DE FUNK EXPLOSIVA ESPECIAL ft. NEGÃO ORIGINAL, MENÓ K, TUTO E MAIS",2026-01-21 02:30:03+00:00,48254,2409,8,PT1H13M57S,4437,1:13:57,https://i.ytimg.com/vi/l1j3S1TZNO8/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-21
GszsE3gu54Y,TOGURO - Podpah #993,2026-01-21 01:27:06+00:00,293879,16785,188,PT2H56M56S,10616,2:56:56,https://i.ytimg.com/vi/GszsE3gu54Y/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-21
Q5Mr0UAMhCY,ALISSON NO CORINTHIANS; YURI ALBERTO DEVERIA SER VENDIDO? FLAMENGO CHAMA CAVALARIA - QUEBRADA FC,2026-01-20 22:04:10+00:00,29711,1564,9,PT1H31M48S,5508,1:31:48,https://i.ytimg.com/vi/Q5Mr0UAMhCY/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-20
V151evCfPGA,difícil escolher um só 🔥,2026-01-20 22:00:29+00:00,16889,636,10,PT43S,43,0:00:43,https://i.ytimg.com/vi/V151evCfPGA/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-20
AvDxTD7FnnY,ISSO NÃO FOI ACIDENTE!!!!,2026-01-20 16:00:14+00:00,11021,216,6,PT17S,17,0:00:17,https://i.ytimg.com/vi/AvDxTD7FnnY/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-20
wOsfgwWktxI,para com essas brincadeiras gostosas,2026-01-20 09:01:22+00:00,6613,208,0,PT48S,48,0:00:48,https://i.ytimg.com/vi/wOsfgwWktxI/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-20
5lMBEhFJcRo,BATALHA DA ALDEIA #446 - Edição de Duplas,2026-01-20 03:01:52+00:00,257008,20706,246,PT3H28M6S,12486,3:28:06,https://i.ytimg.com/vi/5lMBEhFJcRo/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-20
1sHzV4kU13s,"EMPATE BROXANTE EM CORINTHIANS X SÃO PAULO, BRAZÃO NA BRONCA E FLAMENGO REBAIXADO? - QUEBRADA FC",2026-01-19 22:03:28+00:00,39985,2267,9,PT1H25M29S,5129,1:25:29,https://i.ytimg.com/vi/1sHzV4kU13s/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-19
B2wDM8yQ4WA,gatilhos...,2026-01-19 21:00:11+00:00,6715,99,1,PT20S,20,0:00:20,https://i.ytimg.com/vi/B2wDM8yQ4WA/maxresdefault.jpg,2026-01-21 19:50:21,2026-01-19
